committee,member_name,manually_changed,reason
HADM,House.R.Rodney_Davis,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.D.Zoe_Lofgren,0,
HADM,House.R.Richard_Nugent,0,
HADM,House.D.Robert_A_Brady,0,
HADM,House.R.Aaron_Schock,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.D.Robert_A_Brady,0,
HADM,House.R.Aaron_Schock,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.R.Richard_Nugent,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.D.Robert_A_Brady,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.D.Robert_A_Brady,0,
HADM,House.D.Zoe_Lofgren,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.D.Robert_A_Brady,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.D.Zoe_Lofgren,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.R.Candice_S_Miller,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Aaron_Schock,0,
HADM,House.R.Gregg_Harper,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.R.Barbara_Comstock,0,
HADM,House.R.Rodney_Davis,0,
HADM,House.D.Juan_Vargas,0,
HADM,House.D.Zoe_Lofgren,0,
