committee_name	sect_ind	donations
Agriculture (H)	Agribusiness - Agricultural Services/Products	2103231
Agriculture (H)	Agribusiness - Crop Production & Basic Processing	2823067
Agriculture (H)	Agribusiness - Dairy	610894
Agriculture (H)	Agribusiness - Food Processing & Sales	797153
Agriculture (H)	Agribusiness - Forestry & Forest Products	476544
Agriculture (H)	Agribusiness - Livestock	576489
Agriculture (H)	Agribusiness - Poultry & Eggs	353243
Agriculture (H)	Agribusiness - Tobacco	97518
Agriculture (H)	Communications/Electronics - Electronics Mfg & Equip	535518
Agriculture (H)	Communications/Electronics - Internet	212524
Agriculture (H)	Communications/Electronics - Printing & Publishing	277851
Agriculture (H)	Communications/Electronics - TV/Movies/Music	474219
Agriculture (H)	Communications/Electronics - Telecom Services	542335
Agriculture (H)	Communications/Electronics - Telephone Utilities	437381
Agriculture (H)	Construction - Building Materials & Equipment	489692
Agriculture (H)	Construction - Construction Services	489831
Agriculture (H)	Construction - General Contractors	520686
Agriculture (H)	Construction - Home Builders	252744
Agriculture (H)	Construction - Special Trade Contractors	257659
Agriculture (H)	Defense - Defense Aerospace	605601
Agriculture (H)	Defense - Defense Electronics	297608
Agriculture (H)	Defense - Misc Defense	182139
Agriculture (H)	Energy & Natural Resources - Electric Utilities	954633
Agriculture (H)	Energy & Natural Resources - Mining	151432
Agriculture (H)	Energy & Natural Resources - Oil & Gas	1151490
Agriculture (H)	Energy & Natural Resources - Waste Management	23177
Agriculture (H)	Finance, Insurance & Real Estate - Accountants	684045
Agriculture (H)	Finance, Insurance & Real Estate - Commercial Banks	1239388
Agriculture (H)	Finance, Insurance & Real Estate - Credit Unions	255602
Agriculture (H)	Finance, Insurance & Real Estate - Finance/Credit Companies	283729
Agriculture (H)	Finance, Insurance & Real Estate - Insurance	1827864
Agriculture (H)	Finance, Insurance & Real Estate - Misc Finance	558357
Agriculture (H)	Finance, Insurance & Real Estate - Real Estate	2070148
Agriculture (H)	Finance, Insurance & Real Estate - Savings & Loans	11756
Agriculture (H)	Finance, Insurance & Real Estate - Securities & Investment	2251702
Agriculture (H)	Health - Health Professionals	2200073
Agriculture (H)	Health - Health Services/HMOs	397527
Agriculture (H)	Health - Hospitals/Nursing Homes	673620
Agriculture (H)	Health - Pharmaceuticals/Health Products	654207
Agriculture (H)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	23750
Agriculture (H)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	202268
Agriculture (H)	Ideological/Single-Issue - Candidate Committees	1075517
Agriculture (H)	Ideological/Single-Issue - Democratic/Liberal	1968280
Agriculture (H)	Ideological/Single-Issue - Environment	222196
Agriculture (H)	Ideological/Single-Issue - Foreign & Defense Policy	136316
Agriculture (H)	Ideological/Single-Issue - Gun Control	4774
Agriculture (H)	Ideological/Single-Issue - Gun Rights	242832
Agriculture (H)	Ideological/Single-Issue - Human Rights	518210
Agriculture (H)	Ideological/Single-Issue - Leadership PACs	3374770
Agriculture (H)	Ideological/Single-Issue - Pro-Israel	565488
Agriculture (H)	Ideological/Single-Issue - Republican/Conservative	338187
Agriculture (H)	Ideological/Single-Issue - Women's Issues	1070835
Agriculture (H)	Labor - Building Trade Unions	921000
Agriculture (H)	Labor - Industrial Unions	608862
Agriculture (H)	Labor - Misc Unions	300403
Agriculture (H)	Labor - Public Sector Unions	987337
Agriculture (H)	Labor - Transportation Unions	894316
Agriculture (H)	Lawyers & Lobbyists - Lawyers/Law Firms	2967567
Agriculture (H)	Lawyers & Lobbyists - Lobbyists	883977
Agriculture (H)	Misc Business - Beer, Wine & Liquor	626933
Agriculture (H)	Misc Business - Business Associations	146052
Agriculture (H)	Misc Business - Business Services	732537
Agriculture (H)	Misc Business - Casinos/Gambling	684813
Agriculture (H)	Misc Business - Chemical & Related Manufacturing	258088
Agriculture (H)	Misc Business - Food & Beverage	628275
Agriculture (H)	Misc Business - Lodging/Tourism	147570
Agriculture (H)	Misc Business - Misc Manufacturing & Distributing	717632
Agriculture (H)	Misc Business - Misc Services	169884
Agriculture (H)	Misc Business - Recreation/Live Entertainment	105323
Agriculture (H)	Misc Business - Retail Sales	776693
Agriculture (H)	Misc Business - Steel Production	98224
Agriculture (H)	Misc Business - Textiles	47282
Agriculture (H)	Other - Civil Servants/Public Officials	310107
Agriculture (H)	Other - Clergy & Religious Organizations	53512
Agriculture (H)	Other - Education	781514
Agriculture (H)	Other - Non-Profit Institutions	212027
Agriculture (H)	Other - Retired	3438035
Agriculture (H)	Transportation - Air Transport	623817
Agriculture (H)	Transportation - Automotive	737892
Agriculture (H)	Transportation - Railroads	635687
Agriculture (H)	Transportation - Sea Transport	119509
Agriculture (H)	Transportation - Trucking	404594
Agriculture, Nutrition and Forestry (S)	Agribusiness - Agricultural Services/Products	881924
Agriculture, Nutrition and Forestry (S)	Agribusiness - Crop Production & Basic Processing	919683
Agriculture, Nutrition and Forestry (S)	Agribusiness - Dairy	229130
Agriculture, Nutrition and Forestry (S)	Agribusiness - Food Processing & Sales	519105
Agriculture, Nutrition and Forestry (S)	Agribusiness - Forestry & Forest Products	222843
Agriculture, Nutrition and Forestry (S)	Agribusiness - Livestock	152494
Agriculture, Nutrition and Forestry (S)	Agribusiness - Poultry & Eggs	128855
Agriculture, Nutrition and Forestry (S)	Agribusiness - Tobacco	101225
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - Electronics Mfg & Equip	625597
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - Internet	376806
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - Printing & Publishing	383180
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - TV/Movies/Music	1069444
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - Telecom Services	653500
Agriculture, Nutrition and Forestry (S)	Communications/Electronics - Telephone Utilities	296349
Agriculture, Nutrition and Forestry (S)	Construction - Building Materials & Equipment	228837
Agriculture, Nutrition and Forestry (S)	Construction - Construction Services	337090
Agriculture, Nutrition and Forestry (S)	Construction - General Contractors	362597
Agriculture, Nutrition and Forestry (S)	Construction - Home Builders	169975
Agriculture, Nutrition and Forestry (S)	Construction - Special Trade Contractors	116021
Agriculture, Nutrition and Forestry (S)	Defense - Defense Aerospace	353291
Agriculture, Nutrition and Forestry (S)	Defense - Defense Electronics	186081
Agriculture, Nutrition and Forestry (S)	Defense - Misc Defense	117773
Agriculture, Nutrition and Forestry (S)	Energy & Natural Resources - Electric Utilities	718910
Agriculture, Nutrition and Forestry (S)	Energy & Natural Resources - Mining	136433
Agriculture, Nutrition and Forestry (S)	Energy & Natural Resources - Oil & Gas	1141275
