committee	committee_name	industry	industry_name	sector	donations
HADM	House Administration (H)	A01	Crop Production & Basic Processing	Agribusiness	218385
HADM	House Administration (H)	A02	Tobacco	Agribusiness	28500
HADM	House Administration (H)	A04	Dairy	Agribusiness	24486
HADM	House Administration (H)	A05	Poultry & Eggs	Agribusiness	16900
HADM	House Administration (H)	A06	Livestock	Agribusiness	38900
HADM	House Administration (H)	A07	Agricultural Services/Products	Agribusiness	201693
HADM	House Administration (H)	A10	Forestry & Forest Products	Agribusiness	47000
HADM	House Administration (H)	C01	General Contractors	Construction	115700
HADM	House Administration (H)	C02	Home Builders	Construction	27750
HADM	House Administration (H)	C03	Special Trade Contractors	Construction	59650
HADM	House Administration (H)	C04	Construction Services	Construction	82740
HADM	House Administration (H)	C05	Building Materials & Equipment	Construction	106200
HADM	House Administration (H)	B01	Printing & Publishing	Communications/Electronics	23589
HADM	House Administration (H)	B02	TV/Movies/Music	Communications/Electronics	81575
HADM	House Administration (H)	B09	Telecom Services	Communications/Electronics	159450
HADM	House Administration (H)	B08	Telephone Utilities	Communications/Electronics	91157
HADM	House Administration (H)	B12	Electronics Mfg & Equip	Communications/Electronics	301833
HADM	House Administration (H)	B13	Internet	Communications/Electronics	135300
HADM	House Administration (H)	D03	Misc Defense	Defense	41452
HADM	House Administration (H)	D01	Defense Aerospace	Defense	99000
HADM	House Administration (H)	D02	Defense Electronics	Defense	62750
HADM	House Administration (H)	E01	Oil & Gas	Energy & Natural Resources	226825
HADM	House Administration (H)	E04	Mining	Energy & Natural Resources	18050
HADM	House Administration (H)	E08	Electric Utilities	Energy & Natural Resources	151800
HADM	House Administration (H)	E10	Waste Management	Energy & Natural Resources	2500
HADM	House Administration (H)	F13	Misc Finance	Finance, Insurance & Real Estate	108925
HADM	House Administration (H)	F03	Commercial Banks	Finance, Insurance & Real Estate	193575
HADM	House Administration (H)	F04	Savings & Loans	Finance, Insurance & Real Estate	4500
HADM	House Administration (H)	F05	Credit Unions	Finance, Insurance & Real Estate	35035
HADM	House Administration (H)	F06	Finance/Credit Companies	Finance, Insurance & Real Estate	74350
HADM	House Administration (H)	F07	Securities & Investment	Finance, Insurance & Real Estate	518929
HADM	House Administration (H)	F09	Insurance	Finance, Insurance & Real Estate	421546
HADM	House Administration (H)	F10	Real Estate	Finance, Insurance & Real Estate	418562
HADM	House Administration (H)	F11	Accountants	Finance, Insurance & Real Estate	188574
HADM	House Administration (H)	N00	Business Associations	Misc Business	42450
HADM	House Administration (H)	A09	Food Processing & Sales	Agribusiness	87610
HADM	House Administration (H)	N01	Food & Beverage	Misc Business	122505
HADM	House Administration (H)	N02	Beer, Wine & Liquor	Misc Business	82139
HADM	House Administration (H)	N03	Retail Sales	Misc Business	113630
HADM	House Administration (H)	N04	Misc Services	Misc Business	25950
HADM	House Administration (H)	N05	Business Services	Misc Business	209150
HADM	House Administration (H)	N06	Recreation/Live Entertainment	Misc Business	78800
HADM	House Administration (H)	N07	Casinos/Gambling	Misc Business	41400
HADM	House Administration (H)	H01	Health Professionals	Health	326200
HADM	House Administration (H)	H02	Hospitals/Nursing Homes	Health	96100
HADM	House Administration (H)	H03	Health Services/HMOs	Health	59230
HADM	House Administration (H)	H04	Pharmaceuticals/Health Products	Health	100666
HADM	House Administration (H)	W04	Education	Other	73475
HADM	House Administration (H)	Q01	Republican/Conservative	Ideological/Single-Issue	156096
HADM	House Administration (H)	Q02	Democratic/Liberal	Ideological/Single-Issue	17910
HADM	House Administration (H)	Q03	Leadership PACs	Ideological/Single-Issue	573893
HADM	House Administration (H)	Q04	Foreign & Defense Policy	Ideological/Single-Issue	7750
HADM	House Administration (H)	Q05	Pro-Israel	Ideological/Single-Issue	80680
HADM	House Administration (H)	Q13	Gun Rights	Ideological/Single-Issue	40217
HADM	House Administration (H)	Q09	Human Rights	Ideological/Single-Issue	44925
HADM	House Administration (H)	Q14	Abortion Policy/Anti-Abortion	Ideological/Single-Issue	9450
HADM	House Administration (H)	Q15	Abortion Policy/Pro-Abortion Rights	Ideological/Single-Issue	13900
HADM	House Administration (H)	Q08	Women's Issues	Ideological/Single-Issue	27950
HADM	House Administration (H)	Q11	Environment	Ideological/Single-Issue	12600
HADM	House Administration (H)	K01	Lawyers/Law Firms	Lawyers & Lobbyists	583878
HADM	House Administration (H)	K02	Lobbyists	Lawyers & Lobbyists	318068
HADM	House Administration (H)	P05	Misc Unions	Labor	51750
HADM	House Administration (H)	P04	Public Sector Unions	Labor	156000
HADM	House Administration (H)	P01	Building Trade Unions	Labor	187700
HADM	House Administration (H)	P02	Industrial Unions	Labor	104950
HADM	House Administration (H)	P03	Transportation Unions	Labor	154150
HADM	House Administration (H)	N15	Misc Manufacturing & Distributing	Misc Business	99698
HADM	House Administration (H)	N13	Chemical & Related Manufacturing	Misc Business	48500
HADM	House Administration (H)	N14	Steel Production	Misc Business	27050
HADM	House Administration (H)	M01	Air Transport	Transportation	204449
HADM	House Administration (H)	M02	Automotive	Transportation	131595
HADM	House Administration (H)	M03	Trucking	Transportation	72000
HADM	House Administration (H)	M04	Railroads	Transportation	98500
HADM	House Administration (H)	M05	Sea Transport	Transportation	32700
HADM	House Administration (H)	N08	Lodging/Tourism	Misc Business	57884
HADM	House Administration (H)	W06	Retired	Other	496977
HADM	House Administration (H)	W03	Civil Servants/Public Officials	Other	35375
HADM	House Administration (H)	W02	Non-Profit Institutions	Other	47400
HADM	House Administration (H)	W05	Clergy & Religious Organizations	Other	2100
HADM	House Administration (H)	Q16	Candidate Committees	Ideological/Single-Issue	185379
HADM	House Administration (H)	Q12	Gun Control	Ideological/Single-Issue	0
HADM	House Administration (H)	N16	Textiles	Misc Business	0
HAGR	Agriculture (H)	A01	Crop Production & Basic Processing	Agribusiness	2823067
HAGR	Agriculture (H)	A02	Tobacco	Agribusiness	97518
HAGR	Agriculture (H)	A04	Dairy	Agribusiness	610894
HAGR	Agriculture (H)	A05	Poultry & Eggs	Agribusiness	353243
HAGR	Agriculture (H)	A06	Livestock	Agribusiness	576489
HAGR	Agriculture (H)	A07	Agricultural Services/Products	Agribusiness	2103231
HAGR	Agriculture (H)	A10	Forestry & Forest Products	Agribusiness	476544
HAGR	Agriculture (H)	C01	General Contractors	Construction	520686
HAGR	Agriculture (H)	C02	Home Builders	Construction	252744
HAGR	Agriculture (H)	C03	Special Trade Contractors	Construction	257659
HAGR	Agriculture (H)	C04	Construction Services	Construction	489831
HAGR	Agriculture (H)	C05	Building Materials & Equipment	Construction	489692
HAGR	Agriculture (H)	B01	Printing & Publishing	Communications/Electronics	277851
HAGR	Agriculture (H)	B02	TV/Movies/Music	Communications/Electronics	474219
