committee	sector	donations
Agriculture (H)	Agribusiness	7838139
Agriculture (H)	Communications/Electronics	2479828
Agriculture (H)	Construction	2010612
Agriculture (H)	Defense	1085348
Agriculture (H)	Energy & Natural Resources	2280732
Agriculture (H)	Finance, Insurance & Real Estate	9182591
Agriculture (H)	Health	3925427
Agriculture (H)	Ideological/Single-Issue	9743423
Agriculture (H)	Labor	3711918
Agriculture (H)	Lawyers & Lobbyists	3851544
Agriculture (H)	Misc Business	5139306
Agriculture (H)	Other	4795195
Agriculture (H)	Transportation	2521499
Agriculture, Nutrition and Forestry (S)	Agribusiness	3155259
Agriculture, Nutrition and Forestry (S)	Communications/Electronics	3404876
Agriculture, Nutrition and Forestry (S)	Construction	1214520
Agriculture, Nutrition and Forestry (S)	Defense	657145
Agriculture, Nutrition and Forestry (S)	Energy & Natural Resources	2008004
Agriculture, Nutrition and Forestry (S)	Finance, Insurance & Real Estate	10756590
Agriculture, Nutrition and Forestry (S)	Health	4195203
Agriculture, Nutrition and Forestry (S)	Ideological/Single-Issue	5099171
Agriculture, Nutrition and Forestry (S)	Labor	580707
Agriculture, Nutrition and Forestry (S)	Lawyers & Lobbyists	6186677
Agriculture, Nutrition and Forestry (S)	Misc Business	4246095
Agriculture, Nutrition and Forestry (S)	Other	5067918
Agriculture, Nutrition and Forestry (S)	Transportation	1583435
Appropriations (H)	Agribusiness	3952699
Appropriations (H)	Communications/Electronics	2413404
Appropriations (H)	Construction	2580857
Appropriations (H)	Defense	3637909
Appropriations (H)	Energy & Natural Resources	2872137
Appropriations (H)	Finance, Insurance & Real Estate	9381073
Appropriations (H)	Health	4633101
Appropriations (H)	Ideological/Single-Issue	5126950
Appropriations (H)	Labor	3697305
Appropriations (H)	Lawyers & Lobbyists	4184735
Appropriations (H)	Misc Business	6538288
Appropriations (H)	Other	3861046
Appropriations (H)	Transportation	3132269
Appropriations (S)	Agribusiness	3136352
Appropriations (S)	Communications/Electronics	3487576
Appropriations (S)	Construction	2008998
Appropriations (S)	Defense	1473980
Appropriations (S)	Energy & Natural Resources	3842697
Appropriations (S)	Finance, Insurance & Real Estate	12673424
Appropriations (S)	Health	5007284
Appropriations (S)	Ideological/Single-Issue	6964594
Appropriations (S)	Labor	1097848
Appropriations (S)	Lawyers & Lobbyists	6305515
Appropriations (S)	Misc Business	5904010
Appropriations (S)	Other	6159791
Appropriations (S)	Transportation	2938664
Armed Services (H)	Agribusiness	4415273
Armed Services (H)	Communications/Electronics	3629373
Armed Services (H)	Construction	3824120
Armed Services (H)	Defense	6073573
Armed Services (H)	Energy & Natural Resources	3843091
Armed Services (H)	Finance, Insurance & Real Estate	14436239
Armed Services (H)	Health	6350113
Armed Services (H)	Ideological/Single-Issue	14380871
Armed Services (H)	Labor	5203130
Armed Services (H)	Lawyers & Lobbyists	6629077
Armed Services (H)	Misc Business	7700196
Armed Services (H)	Other	9723282
Armed Services (H)	Transportation	4267272
Armed Services (S)	Agribusiness	2601643
Armed Services (S)	Communications/Electronics	4325885
Armed Services (S)	Construction	3193116
Armed Services (S)	Defense	1688742
Armed Services (S)	Energy & Natural Resources	3412975
Armed Services (S)	Finance, Insurance & Real Estate	16172434
Armed Services (S)	Health	5700590
Armed Services (S)	Ideological/Single-Issue	9382457
Armed Services (S)	Labor	613733
Armed Services (S)	Lawyers & Lobbyists	7458217
Armed Services (S)	Misc Business	7393923
Armed Services (S)	Other	21918736
Armed Services (S)	Transportation	3091683
Banking, Housing, and Urban Affairs (S)	Agribusiness	2071232
Banking, Housing, and Urban Affairs (S)	Communications/Electronics	3267833
Banking, Housing, and Urban Affairs (S)	Construction	1991588
Banking, Housing, and Urban Affairs (S)	Defense	997879
Banking, Housing, and Urban Affairs (S)	Energy & Natural Resources	2269637
Banking, Housing, and Urban Affairs (S)	Finance, Insurance & Real Estate	19969240
Banking, Housing, and Urban Affairs (S)	Health	4989025
Banking, Housing, and Urban Affairs (S)	Ideological/Single-Issue	6374964
Banking, Housing, and Urban Affairs (S)	Labor	685833
Banking, Housing, and Urban Affairs (S)	Lawyers & Lobbyists	6060567
Banking, Housing, and Urban Affairs (S)	Misc Business	5719465
Banking, Housing, and Urban Affairs (S)	Other	6735496
Banking, Housing, and Urban Affairs (S)	Transportation	1833584
Budget (H)	Agribusiness	1828852
Budget (H)	Communications/Electronics	2118159
Budget (H)	Construction	2006916
Budget (H)	Defense	995874
Budget (H)	Energy & Natural Resources	1622658
Budget (H)	Finance, Insurance & Real Estate	9826225
Budget (H)	Health	5310005
Budget (H)	Ideological/Single-Issue	5018311
Budget (H)	Labor	2427612
Budget (H)	Lawyers & Lobbyists	5810140
Budget (H)	Misc Business	5119948
Budget (H)	Other	6806541
Budget (H)	Transportation	1773156
Budget (S)	Agribusiness	4226994
Budget (S)	Communications/Electronics	10367588
Budget (S)	Construction	4455399
Budget (S)	Defense	1340097
Budget (S)	Energy & Natural Resources	3662764
Budget (S)	Finance, Insurance & Real Estate	24759446
Budget (S)	Health	11819722
Budget (S)	Ideological/Single-Issue	32075806
Budget (S)	Labor	772457
Budget (S)	Lawyers & Lobbyists	10126745
Budget (S)	Misc Business	13074547
Budget (S)	Other	27939020
Budget (S)	Transportation	3755560
Commerce, Science, and Transportation (S)	Agribusiness	4885173
Commerce, Science, and Transportation (S)	Communications/Electronics	6260866
Commerce, Science, and Transportation (S)	Construction	5265490
Commerce, Science, and Transportation (S)	Defense	1489155
Commerce, Science, and Transportation (S)	Energy & Natural Resources	4838882
Commerce, Science, and Transportation (S)	Finance, Insurance & Real Estate	26150469
Commerce, Science, and Transportation (S)	Health	8694668
Commerce, Science, and Transportation (S)	Ideological/Single-Issue	13496569
Commerce, Science, and Transportation (S)	Labor	903758
Commerce, Science, and Transportation (S)	Lawyers & Lobbyists	10077333
Commerce, Science, and Transportation (S)	Misc Business	11786211
Commerce, Science, and Transportation (S)	Other	34197572
Commerce, Science, and Transportation (S)	Transportation	5090822
Education and Labor (H)	Agribusiness	1989587
Education and Labor (H)	Communications/Electronics	1844027
Education and Labor (H)	Construction	2090764
Education and Labor (H)	Defense	1344548
Education and Labor (H)	Energy & Natural Resources	1969494
Education and Labor (H)	Finance, Insurance & Real Estate	8765275
Education and Labor (H)	Health	3892535
Education and Labor (H)	Ideological/Single-Issue	5226645
Education and Labor (H)	Labor	2628325
Education and Labor (H)	Lawyers & Lobbyists	2631864
Education and Labor (H)	Misc Business	4981322
Education and Labor (H)	Other	4420342
Education and Labor (H)	Transportation	2028382
Energy and Commerce (H)	Agribusiness	3272703
Energy and Commerce (H)	Communications/Electronics	6983857
Energy and Commerce (H)	Construction	2287974
Energy and Commerce (H)	Defense	1259025
Energy and Commerce (H)	Energy & Natural Resources	7038399
Energy and Commerce (H)	Finance, Insurance & Real Estate	9931139
Energy and Commerce (H)	Health	14190397
Energy and Commerce (H)	Ideological/Single-Issue	3684115
Energy and Commerce (H)	Labor	3796561
Energy and Commerce (H)	Lawyers & Lobbyists	5139286
Energy and Commerce (H)	Misc Business	7382726
Energy and Commerce (H)	Other	3739720
Energy and Commerce (H)	Transportation	3144377
Energy and Natural Resources (S)	Agribusiness	2610247
Energy and Natural Resources (S)	Communications/Electronics	8559034
Energy and Natural Resources (S)	Construction	2944205
Energy and Natural Resources (S)	Defense	937439
Energy and Natural Resources (S)	Energy & Natural Resources	3437657
Energy and Natural Resources (S)	Finance, Insurance & Real Estate	12208591
Energy and Natural Resources (S)	Health	8510324
Energy and Natural Resources (S)	Ideological/Single-Issue	26759680
Energy and Natural Resources (S)	Labor	689906
Energy and Natural Resources (S)	Lawyers & Lobbyists	6150133
Energy and Natural Resources (S)	Misc Business	9063563
Energy and Natural Resources (S)	Other	18544490
Energy and Natural Resources (S)	Transportation	2364831
Environment and Public Works (S)	Agribusiness	1740968
Environment and Public Works (S)	Communications/Electronics	7085486
Environment and Public Works (S)	Construction	2210459
Environment and Public Works (S)	Defense	689913
Environment and Public Works (S)	Energy & Natural Resources	1133441
Environment and Public Works (S)	Finance, Insurance & Real Estate	7182301
Environment and Public Works (S)	Health	6140836
Environment and Public Works (S)	Ideological/Single-Issue	23254954
Environment and Public Works (S)	Labor	454841
Environment and Public Works (S)	Lawyers & Lobbyists	3724626
Environment and Public Works (S)	Misc Business	5465404
Environment and Public Works (S)	Other	14703694
Environment and Public Works (S)	Transportation	1628530
Finance (S)	Agribusiness	4594378
Finance (S)	Communications/Electronics	6475354
Finance (S)	Construction	3565080
Finance (S)	Defense	1045894
Finance (S)	Energy & Natural Resources	4263533
Finance (S)	Finance, Insurance & Real Estate	30795478
Finance (S)	Health	10979804
Finance (S)	Ideological/Single-Issue	10527088
Finance (S)	Labor	839699
Finance (S)	Lawyers & Lobbyists	11934791
Finance (S)	Misc Business	11729906
Finance (S)	Other	12184419
Finance (S)	Transportation	3402008
Financial Services (H)	Agribusiness	2931239
Financial Services (H)	Communications/Electronics	2666604
Financial Services (H)	Construction	2896501
Financial Services (H)	Defense	1243509
Financial Services (H)	Energy & Natural Resources	3194905
Financial Services (H)	Finance, Insurance & Real Estate	34822198
Financial Services (H)	Health	5578319
Financial Services (H)	Ideological/Single-Issue	9620973
Financial Services (H)	Labor	3867645
Financial Services (H)	Lawyers & Lobbyists	6162552
Financial Services (H)	Misc Business	7487654
Financial Services (H)	Other	7868646
Financial Services (H)	Transportation	2519583
Foreign Affairs (H)	Agribusiness	1520920
Foreign Affairs (H)	Communications/Electronics	2896342
Foreign Affairs (H)	Construction	1852618
Foreign Affairs (H)	Defense	1323392
Foreign Affairs (H)	Energy & Natural Resources	1533327
Foreign Affairs (H)	Finance, Insurance & Real Estate	10205861
Foreign Affairs (H)	Health	3617016
Foreign Affairs (H)	Ideological/Single-Issue	7089198
Foreign Affairs (H)	Labor	3346061
Foreign Affairs (H)	Lawyers & Lobbyists	3511921
Foreign Affairs (H)	Misc Business	4329398
Foreign Affairs (H)	Other	5362400
Foreign Affairs (H)	Transportation	1948416
Foreign Relations (S)	Agribusiness	2349889
Foreign Relations (S)	Communications/Electronics	2939271
Foreign Relations (S)	Construction	2805768
Foreign Relations (S)	Defense	508739
Foreign Relations (S)	Energy & Natural Resources	2300533
Foreign Relations (S)	Finance, Insurance & Real Estate	15627360
Foreign Relations (S)	Health	4719557
Foreign Relations (S)	Ideological/Single-Issue	6488638
Foreign Relations (S)	Labor	141709
Foreign Relations (S)	Lawyers & Lobbyists	5707764
Foreign Relations (S)	Misc Business	6443025
Foreign Relations (S)	Other	17023703
Foreign Relations (S)	Transportation	1959030
Health, Education, Labor and Pensions (S)	Agribusiness	3596337
Health, Education, Labor and Pensions (S)	Communications/Electronics	9744703
Health, Education, Labor and Pensions (S)	Construction	3759807
Health, Education, Labor and Pensions (S)	Defense	1253367
Health, Education, Labor and Pensions (S)	Energy & Natural Resources	3812020
Health, Education, Labor and Pensions (S)	Finance, Insurance & Real Estate	17820398
Health, Education, Labor and Pensions (S)	Health	12000459
Health, Education, Labor and Pensions (S)	Ideological/Single-Issue	30481470
Health, Education, Labor and Pensions (S)	Labor	935206
Health, Education, Labor and Pensions (S)	Lawyers & Lobbyists	9186068
Health, Education, Labor and Pensions (S)	Misc Business	10718544
Health, Education, Labor and Pensions (S)	Other	22909217
Health, Education, Labor and Pensions (S)	Transportation	2933075
Homeland Security (H)	Agribusiness	1610745
Homeland Security (H)	Communications/Electronics	1821709
Homeland Security (H)	Construction	1546529
Homeland Security (H)	Defense	1386028
Homeland Security (H)	Energy & Natural Resources	1915471
Homeland Security (H)	Finance, Insurance & Real Estate	5674357
Homeland Security (H)	Health	2465262
Homeland Security (H)	Ideological/Single-Issue	4155225
Homeland Security (H)	Labor	2454975
Homeland Security (H)	Lawyers & Lobbyists	2489206
Homeland Security (H)	Misc Business	3085866
Homeland Security (H)	Other	3050979
Homeland Security (H)	Transportation	1923543
Homeland Security and Governmental Affairs (S)	Agribusiness	2073175
Homeland Security and Governmental Affairs (S)	Communications/Electronics	2983966
Homeland Security and Governmental Affairs (S)	Construction	2190519
Homeland Security and Governmental Affairs (S)	Defense	886330
Homeland Security and Governmental Affairs (S)	Energy & Natural Resources	3092738
Homeland Security and Governmental Affairs (S)	Finance, Insurance & Real Estate	14962934
Homeland Security and Governmental Affairs (S)	Health	4247099
Homeland Security and Governmental Affairs (S)	Ideological/Single-Issue	6667320
Homeland Security and Governmental Affairs (S)	Labor	337692
Homeland Security and Governmental Affairs (S)	Lawyers & Lobbyists	4397498
Homeland Security and Governmental Affairs (S)	Misc Business	6769929
Homeland Security and Governmental Affairs (S)	Other	11605869
Homeland Security and Governmental Affairs (S)	Transportation	2549909
House Administration (H)	Agribusiness	663474
House Administration (H)	Communications/Electronics	792904
House Administration (H)	Construction	392040
House Administration (H)	Defense	203202
House Administration (H)	Energy & Natural Resources	399175
House Administration (H)	Finance, Insurance & Real Estate	1963996
House Administration (H)	Health	582196
House Administration (H)	Ideological/Single-Issue	1170750
House Administration (H)	Labor	654550
House Administration (H)	Lawyers & Lobbyists	901946
House Administration (H)	Misc Business	949156
House Administration (H)	Other	655327
House Administration (H)	Transportation	539244
Indian Affairs (S)	Agribusiness	1524159
Indian Affairs (S)	Communications/Electronics	1778705
Indian Affairs (S)	Construction	1146746
Indian Affairs (S)	Defense	859844
Indian Affairs (S)	Energy & Natural Resources	2956486
Indian Affairs (S)	Finance, Insurance & Real Estate	7416998
Indian Affairs (S)	Health	1983527
Indian Affairs (S)	Ideological/Single-Issue	3510598
Indian Affairs (S)	Labor	572501
Indian Affairs (S)	Lawyers & Lobbyists	2797112
Indian Affairs (S)	Misc Business	3289159
Indian Affairs (S)	Other	3217227
Indian Affairs (S)	Transportation	1616321
Judiciary (H)	Agribusiness	1438914
Judiciary (H)	Communications/Electronics	4637039
Judiciary (H)	Construction	1473544
Judiciary (H)	Defense	939069
Judiciary (H)	Energy & Natural Resources	1615874
Judiciary (H)	Finance, Insurance & Real Estate	6894018
Judiciary (H)	Health	2574669
Judiciary (H)	Ideological/Single-Issue	4428248
Judiciary (H)	Labor	2184675
Judiciary (H)	Lawyers & Lobbyists	3364378
Judiciary (H)	Misc Business	4295109
Judiciary (H)	Other	3745148
Judiciary (H)	Transportation	1774313
Judiciary (S)	Agribusiness	2843398
Judiciary (S)	Communications/Electronics	5239430
Judiciary (S)	Construction	3182580
Judiciary (S)	Defense	1007823
Judiciary (S)	Energy & Natural Resources	2777050
Judiciary (S)	Finance, Insurance & Real Estate	16991881
Judiciary (S)	Health	6649154
Judiciary (S)	Ideological/Single-Issue	8691682
Judiciary (S)	Labor	783296
Judiciary (S)	Lawyers & Lobbyists	8204652
Judiciary (S)	Misc Business	7171794
Judiciary (S)	Other	20170652
Judiciary (S)	Transportation	1912442
Natural Resources (H)	Agribusiness	3062151
Natural Resources (H)	Communications/Electronics	1350344
Natural Resources (H)	Construction	1839729
Natural Resources (H)	Defense	1375416
Natural Resources (H)	Energy & Natural Resources	2690461
Natural Resources (H)	Finance, Insurance & Real Estate	4438684
Natural Resources (H)	Health	2979726
Natural Resources (H)	Ideological/Single-Issue	5808501
Natural Resources (H)	Labor	2764282
Natural Resources (H)	Lawyers & Lobbyists	2546947
Natural Resources (H)	Misc Business	3703837
Natural Resources (H)	Other	3380410
Natural Resources (H)	Transportation	2113207
