CmteCode,Catorder
HADM,A01
HADM,A02
HADM,A04
HADM,A05
HADM,A06
HADM,A07
HADM,A10
HADM,C01
HADM,C02
HADM,C03
HADM,C04
HADM,C05
HADM,B01
HADM,B02
HADM,B09
HADM,B08
HADM,B12
HADM,B13
HADM,D03
HADM,D01
HADM,D02
HADM,E01
HADM,E04
HADM,E08
HADM,E10
HADM,F13
HADM,F03
HADM,F04
HADM,F05
HADM,F06
HADM,F07
HADM,F09
HADM,F10
HADM,F11
HADM,N00
HADM,A09
HADM,N01
HADM,N02
HADM,N03
HADM,N04
HADM,N05
HADM,N06
HADM,N07
HADM,H01
HADM,H02
HADM,H03
HADM,H04
HADM,W04
HADM,Q01
HADM,Q02
HADM,Q03
HADM,Q04
HADM,Q05
HADM,Q13
HADM,Q09
HADM,Q14
HADM,Q15
HADM,Q08
HADM,Q11
HADM,K01
HADM,K02
HADM,P05
HADM,P04
HADM,P01
HADM,P02
HADM,P03
HADM,N15
HADM,N13
HADM,N14
HADM,M01
HADM,M02
HADM,M03
HADM,M04
HADM,M05
HADM,N08
HADM,W06
HADM,W03
HADM,W02
HADM,W05
HADM,Q16
HAGR,A01
HAGR,A02
HAGR,A04
HAGR,A05
HAGR,A06
HAGR,A07
HAGR,A10
HAGR,C01
HAGR,C02
HAGR,C03
HAGR,C04
HAGR,C05
HAGR,B01
HAGR,B02
HAGR,B09
HAGR,B08
HAGR,B12
HAGR,B13
HAGR,D03
HAGR,D01
HAGR,D02
HAGR,E01
HAGR,E04
HAGR,E08
HAGR,E10
HAGR,F13
HAGR,F03
HAGR,F04
HAGR,F05
HAGR,F06
HAGR,F07
HAGR,F09
HAGR,F10
HAGR,F11
HAGR,N00
HAGR,A09
HAGR,N01
HAGR,N02
HAGR,N03
HAGR,N04
HAGR,N05
HAGR,N06
HAGR,N07
HAGR,H01
HAGR,H02
HAGR,H03
HAGR,H04
HAGR,W04
HAGR,Q01
HAGR,Q02
HAGR,Q03
HAGR,Q04
HAGR,Q05
HAGR,Q12
HAGR,Q13
HAGR,Q09
HAGR,Q14
HAGR,Q15
HAGR,Q08
HAGR,Q11
HAGR,K01
HAGR,K02
HAGR,P05
HAGR,P04
HAGR,P01
HAGR,P02
HAGR,P03
HAGR,N15
HAGR,N13
HAGR,N14
HAGR,N16
HAGR,M01
HAGR,M02
HAGR,M03
HAGR,M04
HAGR,M05
HAGR,N08
HAGR,W06
HAGR,W03
HAGR,W02
HAGR,W05
HAGR,Q16
HAPP,A01
HAPP,A02
HAPP,A04
HAPP,A05
HAPP,A06
HAPP,A07
HAPP,A10
HAPP,C01
HAPP,C02
HAPP,C03
HAPP,C04
HAPP,C05
HAPP,B01
HAPP,B02
HAPP,B09
HAPP,B08
HAPP,B12
HAPP,B13
HAPP,D03
HAPP,D01
HAPP,D02
HAPP,E01
HAPP,E04
HAPP,E08
HAPP,E10
HAPP,F13
HAPP,F03
HAPP,F04
HAPP,F05
HAPP,F06
HAPP,F07
HAPP,F09
HAPP,F10
HAPP,F11
HAPP,N00
HAPP,A09
HAPP,N01
HAPP,N02
HAPP,N03
HAPP,N04
HAPP,N05
HAPP,N06
HAPP,N07
HAPP,H01
HAPP,H02
HAPP,H03
HAPP,H04
HAPP,W04
HAPP,Q01
HAPP,Q02
HAPP,Q03
HAPP,Q04
HAPP,Q05
HAPP,Q12
HAPP,Q13
HAPP,Q09
HAPP,Q14
HAPP,Q15
HAPP,Q08
HAPP,Q11
HAPP,K01
HAPP,K02
HAPP,P05
HAPP,P04
HAPP,P01
HAPP,P02
HAPP,P03
HAPP,N15
HAPP,N13
