committee	industry	donations
SAGR	A01	919683
SAGR	A02	101225
SAGR	A04	229130
SAGR	A05	128855
SAGR	A06	152494
SAGR	A07	881924
SAGR	A10	222843
SAGR	C01	362597
SAGR	C02	169975
SAGR	C03	116021
SAGR	C04	337090
SAGR	C05	228837
SAGR	B01	383180
SAGR	B02	1069444
SAGR	B09	653500
SAGR	B08	296349
SAGR	B12	625597
SAGR	B13	376806
SAGR	D03	117773
SAGR	D01	353291
SAGR	D02	186081
SAGR	E01	1141275
SAGR	E04	136433
SAGR	E08	718910
SAGR	E10	11386
SAGR	F13	886053
SAGR	F03	989241
SAGR	F04	52058
SAGR	F05	90175
SAGR	F06	280007
SAGR	F07	3953607
SAGR	F09	1890761
SAGR	F10	2179858
SAGR	F11	434830
SAGR	N00	79989
SAGR	A09	519105
SAGR	N01	374957
SAGR	N02	285264
SAGR	N03	703470
SAGR	N04	146603
SAGR	N05	790201
SAGR	N06	168220
SAGR	N07	271085
SAGR	H01	1588474
SAGR	H02	765807
SAGR	H03	582151
SAGR	H04	1258771
SAGR	W04	781611
SAGR	Q01	328708
SAGR	Q02	987999
SAGR	Q03	2034475
SAGR	Q04	105950
SAGR	Q05	600549
SAGR	Q13	143805
SAGR	Q09	163013
SAGR	Q14	20025
SAGR	Q15	71508
SAGR	Q08	33374
SAGR	Q11	521949
SAGR	K01	4411988
SAGR	K02	1774689
SAGR	P05	51801
SAGR	P04	197435
SAGR	P01	123500
SAGR	P02	72875
SAGR	P03	135096
SAGR	N15	672328
SAGR	N13	328823
SAGR	N14	118453
SAGR	M01	503555
SAGR	M02	409816
SAGR	M03	239375
SAGR	M04	267339
SAGR	M05	163350
SAGR	N08	285652
SAGR	W06	3458992
SAGR	W03	325949
SAGR	W02	471888
SAGR	W05	29478
SAGR	Q16	45789
SAGR	Q12	42027
SAGR	N16	21050
SAPP	A01	980432
SAPP	A02	109505
SAPP	A04	131900
SAPP	A05	105950
SAPP	A06	206330
SAPP	A07	659116
SAPP	A10	365198
SAPP	C01	662671
SAPP	C02	199897
SAPP	C03	189935
SAPP	C04	566179
SAPP	C05	390316
SAPP	B01	253118
SAPP	B02	808476
SAPP	B09	790085
SAPP	B08	329888
SAPP	B12	833260
SAPP	B13	472749
SAPP	D03	319450
SAPP	D01	718744
SAPP	D02	435786
SAPP	E01	2324812
SAPP	E04	317789
SAPP	E08	1172822
SAPP	E10	27274
SAPP	F13	1135583
SAPP	F03	1583505
SAPP	F04	24470
SAPP	F05	140105
SAPP	F06	506982
SAPP	F07	3981609
SAPP	F09	2001944
SAPP	F10	2690436
SAPP	F11	608790
SAPP	N00	142843
SAPP	A09	577921
SAPP	N01	681053
SAPP	N02	466274
SAPP	N03	796318
SAPP	N04	243939
SAPP	N05	973946
SAPP	N06	215902
SAPP	N07	534370
SAPP	H01	2074784
SAPP	H02	820867
SAPP	H03	570236
SAPP	H04	1541397
SAPP	W04	664746
SAPP	Q01	500031
SAPP	Q02	347424
SAPP	Q03	3291535
SAPP	Q04	147900
SAPP	Q05	1236809
SAPP	Q13	195540
SAPP	Q09	295051
SAPP	Q14	2000
SAPP	Q15	119029
SAPP	Q08	443610
SAPP	Q11	308396
SAPP	K01	4160745
SAPP	K02	2144770
SAPP	P05	59252
SAPP	P04	356732
SAPP	P01	266975
SAPP	P02	120026
SAPP	P03	294863
SAPP	N15	896816
SAPP	N13	399045
SAPP	N14	89064
SAPP	M01	827822
SAPP	M02	757070
SAPP	M03	322213
SAPP	M04	572668
SAPP	M05	458891
SAPP	N08	402955
SAPP	W06	4700579
SAPP	W03	383785
SAPP	W02	383770
SAPP	W05	26911
SAPP	Q16	77269
SAPP	Q12	0
SAPP	N16	61485
SARM	A01	843779
SARM	A02	126005
SARM	A04	127516
SARM	A05	46750
SARM	A06	455816
SARM	A07	452175
SARM	A10	174912
SARM	C01	1182847
SARM	C02	222982
SARM	C03	590498
SARM	C04	773758
SARM	C05	423031
SARM	B01	508704
SARM	B02	1012718
SARM	B09	782234
SARM	B08	353866
SARM	B12	1238531
SARM	B13	429832
SARM	D03	446763
SARM	D01	637131
SARM	D02	604848
SARM	E01	2259373
SARM	E04	350120
SARM	E08	751475
SARM	E10	52007
SARM	F13	1913816
SARM	F03	1073287
SARM	F04	34466
SARM	F05	64136
SARM	F06	282497
SARM	F07	5423811
SARM	F09	1980894
SARM	F10	4692440
SARM	F11	707087
SARM	N00	91623
SARM	A09	374690
SARM	N01	712835
SARM	N02	380488
SARM	N03	774490
SARM	N04	374442
SARM	N05	1806872
SARM	N06	412367
SARM	N07	290380
SARM	H01	2911985
SARM	H02	958481
SARM	H03	668909
SARM	H04	1161215
SARM	W04	1426914
SARM	Q01	4717071
SARM	Q02	173626
SARM	Q03	1759086
SARM	Q04	125950
SARM	Q05	1521893
SARM	Q13	463490
SARM	Q09	176809
SARM	Q14	51473
SARM	Q15	49428
SARM	Q08	64654
SARM	Q11	181833
SARM	K01	6057281
SARM	K02	1400936
SARM	P05	45710
SARM	P04	151838
SARM	P01	80291
